Entity	Entity Type	Entity Subtype	Geometric Rendering	Code	Remarks	
Command and Control Lines				110000		
	Boundary		Line	110100		
	Light Line		Line	110200		
	Engineer Work Line		Line	110300		
Command and Control Areas				120000		
	Area of Operations		Area1	120100		
	Named Area of Interest		Area1	120200		
	Targeted Area of Interest		Area1	120300		
	Airfield Zone		Area20	120400		
	Base Camp		Area1	120500		
	Guerrilla Base		Area1	120600		
Command and Control Points				130000		
	Action Point (General)		Point1	130100		
	Amnesty Point		Point1	130200		
	Checkpoint		Point1	130300		
	Center of Main Effort		Point2	130400		
	Contact Point		Point2	130500		
	Coordinating Point		Point2	130600		
	Decision Point		Point2	130700		
	Distress Call		Point1	130800		
	Entry Control Point		Point1	130900		
	Fly-To-Point			131000		
		Sonobuoy	Point1	131001		
		Weapon	Point1	131002		
		Normal	Point1	131003		
	Linkup Point		Point1	131100		
	Passage Point		Point1	131200		
	Point of Interest		Point1	131300		
		Launch Event	Point1	131301		
	Rally Point		Point1	131400		
	Release Point		Point1	131500		
	Start Point		Point1	131600		
	Special Point		Point2	131700		
	Waypoint		Point2	131800		
	Airfield		Point2	131900		
	Target Handover		Point2	132000		
	Key Terrain		Point2	132100		
Maneuver Lines				140000		
	Forward Line of Troops		Line1	140100		
	{Reserved for future use}			140200		
	Phase Line		Line2	140300		
	Forward Edge of the Battle Area		Line2	140400		
	Principle Direction of Fire		Line3	140500		
	Direction of Attack		Line	140600		
		Friendly Aviation	Line1	140601		
		Friendly Direction of Main Attack	Line1	140602		
		Friendly Direction of Supporting Attack	Line1	140603		
		Feint	Line	140605		
	Final Coordination Line		Line2	140700		
	Infiltration Lane		Polyline1	140800		
	Limit of Advance		Line2	140900		
	Line of Departure		Line2	141000		
	Line of Departure/Line of Contact		Line2	141100		
	Probable Line of Deployment		Line2	141200		
	Airhead Line		Area1	141300		
	Bridgehead Line		Line2	141400		
	Holding Line		Line2	141500		
	Release Line		Line2	141600		
	Ambush		Line29	141700		
Maneuver Areas				150000		
	Area		Area1	150100		
	Assembly Area		Area1	150200		
	Occupied Assembly Area		Area1	150300		
	{Reserved for future use}			150400		
	Action Area			150500		
		Joint Tactical Action Area (JTAA)	Area1	150501		
		Submarine Action Area (SAA)	Area1	150502		
		Submarine-Generated Action Area (SGAA)	Area1	150503		
	Drop Zone		Area	150600		
	Extraction Zone		Area1	150700		
	Landing Zone		Area1	150800		
	Pick–Up Zone		Area1	150900		
	Fortified Area		Area1	151000		
	Limited Access Area		Area2	151100		
	Battle Position		Area3	151200		
		Prepared (P) but not Occupied	Area3	151202		
		Strong Point	Area4	151203		
		Contain	Area5	151204		
		Retain	Area6	151205		
	Engagement Area (EA)		Area1	151300		
	Axis of Advance			151400		
		Friendly Airborne/Aviation	Axis1	151401		
		Attack Helicopter	Axis1	151402		
		Main Attack	Axis2	151403		
		Supporting Attack 	Axis2	151404		
	Assault Position		Area1	151500		
	Attack Position		Area1	151600		
	Objective		Area1	151700		
	Encirclement		Area1	151800		
	Penetration Box		Area1	151900		
	Attack by Fire Position		Area7	152000		
	Support by Fire Position		Area8	152100		
	Search Area/Reconnaissance Area		Area21	152200		
Maneuver Points				160000		
	Observation Post/Outpost (unspecified)		Point2	160100		
	Observation Post/Outpost (specified)		Point2	160200		
		Reconnaissance Outpost	Point2	160201		
		Forward Observer/Spotter Outpost/Position	Point2	160202		
		CBRN Observation Outpost	Point2	160203		
		Sensor Outpost/Listening Post	Point2	160204		
		Combat Outpost	Point2	160205		
	Target Reference Point		Point2	160300		
	Point of Departure		Point1	160400		
Airspace Control (Corridors) Areas				170000		
	Air Corridor		Corridor1	170100		
	Low Level Transit Route		Corridor1	170200		
	Minimum–Risk Route		Corridor1	170300		
	Safe Lane		Corridor1	170400		
	Standard Use Army Aircraft Flight Route		Corridor1	170500		
	Transit Corridor		Corridor1	170600		
	Special Corridor		Corridor1	170700		
	Base Defense Zone		Area22	170800		
	High–Density Airspace Control Zone		Area1	170900		
	Restricted Operations Zone		Area1	171000		
	Air-to-Air Restricted Operations Zone		Area1	171100		
	Unmanned Aircraft Restricted Operations Zone		Area1	171200		
	Weapon Engagement Zone		Area1	171300		
	Fighter Engagement Zone		Area1	171400		
	Joint Engagement Zone		Area1	171500		
	Missile Engagement Zone		Area1	171600		
	Low Altitude Missile Engagement Zone		Area1	171700		
	High Altitude Missile Engagement Zone		Area1	171800		
	Short Range Air Defense Engagement Zone		Area1	171900		
	Weapons Free Zone		Area1	172000		
Airspace Control Points				180000		
	Air Control Point		Point2	180100		
	Communications Checkpoint		Point2	180200		
	Downed Aircraft Pick–up Point		Point1	180300		
	Pop–up Point		Point2	180400		
	Air Control Rendezvous		Point2	180500		
	Tactical Air Navigation (TACAN)		Point2	180600		
	Combat Air Patrol (CAP) Station		Point2	180700		
	Airborne Early Warning (AEW) Station		Point2	180800		
	ASW (Helo and F/W) Station		Point2	180900		
	Strike Initial Point		Point2	181000		
	Replenishment Station		Point2	181100		
	Tanking		Point2	181200		
	Antisubmarine Warfare, Rotary Wing		Point2	181300		
	Surface Combat Air Patrol (SUCAP) – Fixed Wing		Point2	181400		
	SUCAP – Rotary Wing		Point2	181500		
	MIW – Fixed Wing		Point2	181600		
	MIW – Rotary Wing		Point2	181700		
	Tomcat		Point2	181800		
	Rescue		Point2	181900		
	Unmanned Aerial System (UAS/UA)		Point2	182000		
	Vertical Takeoff and Landing (VTOL) Tactical Unmanned Aircraft (VTUA)		Point2	182100		
	Orbit		Point2	182200		
	Orbit – Figure Eight		Point2	182300		
	Orbit – Race Track		Point2	182400		
	Orbit – Random Closed		Point2	182500		
Airspace Control Lines				190000		
	Identification Friend or Foe Off Line		Line2	190100		
	Identification Friend or Foe On Line		Line2	190200		
Maritime Control Areas				200000		
	Launch Area			200100		
		Ellipse/Circle	Ellipse1	200101		
	Defended Area			200200		
		Ellipse/Circle	Ellipse1	200201		
		Rectangle	Rectangular1	200202		
	No Attack (NOTACK) Zone		Circular1	200300		
	Ship Area of Interest		Point3	200400		
		Ellipse/Circle	Ellipse1	200401		
		Rectangle	Rectangular1	200402		
	Active Maneuver Area		Point2	200500		
	Cued Acquisition Doctrine		Point17	200600		
